Date,Holiday
2013-01-01,New Year's Day
2013-02-11,Carnival
2013-02-12,Carnival
2013-03-29,Good Friday
2013-05-01,Labor Day
2013-05-24,Battle of Pichincha
2013-08-10,Independence of Quito
2013-10-09,Independence of Guayaquil
2013-11-02,All Souls' Day
2013-11-03,Independence of Cuenca
2013-12-25,Christmas Day
2014-01-01,New Year's Day
2014-03-03,Carnival
2014-03-04,Carnival
2014-04-18,Good Friday
2014-05-01,Labor Day
2014-05-24,Battle of Pichincha
2014-08-10,Independence of Quito
2014-10-09,Independence of Guayaquil
2014-11-02,All Souls' Day
2014-11-03,Independence of Cuenca
2014-12-25,Christmas Day
2015-01-01,New Year's Day
2015-02-16,Carnival
2015-02-17,Carnival
2015-04-03,Good Friday
2015-05-01,Labor Day
2015-05-24,Battle of Pichincha
2015-08-10,Independence of Quito
2015-10-09,Independence of Guayaquil
2015-11-02,All Souls' Day
2015-11-03,Independence of Cuenca
2015-12-25,Christmas Day
2016-01-01,New Year's Day
2016-02-08,Carnival
2016-02-09,Carnival
2016-03-25,Good Friday
2016-05-01,Labor Day
2016-05-24,Battle of Pichincha
2016-08-10,Independence of Quito
2016-10-09,Independence of Guayaquil
2016-11-02,All Souls' Day
2016-11-03,Independence of Cuenca
2016-12-25,Christmas Day
2017-01-01,New Year's Day
2017-02-27,Carnival
2017-02-28,Carnival
2017-04-14,Good Friday
2017-05-01,Labor Day
2017-05-24,Battle of Pichincha
2017-08-10,Independence of Quito
2017-10-09,Independence of Guayaquil
2017-11-02,All Souls' Day
2017-11-03,Independence of Cuenca
2017-12-25,Christmas Day
